"carat","cut","color","clarity","depth","table","price","x","y","z"
0.31,"Ideal","G","VS1",61.5,54,658,4.39,4.43,2.71
0.57,"Ideal","E","SI2",58.8,57,1357,5.49,5.46,3.22
0.42,"Premium","E","SI1",60,61,953,4.88,4.85,2.92
0.77,"Premium","F","VS1",59.5,58,3211,5.96,5.94,3.54
0.72,"Very Good","E","SI2",59.8,58,2345,5.84,5.86,3.5
1.5,"Good","F","SI1",63.4,58,10766,7.16,7.2,4.55
1.51,"Premium","H","SI2",61.4,60,8033,7.37,7.31,4.51
0.32,"Ideal","F","VS2",62.2,55,828,4.37,4.35,2.71
1.36,"Ideal","H","SI1",61.5,56,8989,7.12,7.16,4.39
0.9,"Good","H","VS2",63.1,60,3989,6.08,6.12,3.85
0.5,"Ideal","G","VVS2",61.4,56,1867,5.13,5.17,3.16
1.14,"Premium","F","VVS1",59.4,59,11549,6.87,6.8,4.06
0.52,"Ideal","D","VVS1",62,57,3247,5.17,5.15,3.2
1.03,"Fair","G","SI2",65.6,58,3765,6.3,6.26,4.12
0.47,"Very Good","J","VS1",63,60,854,4.92,4.95,3.11
0.31,"Ideal","G","VVS2",60.8,56,707,4.38,4.4,2.67
0.93,"Ideal","I","SI1",62,57,2917,6.22,6.26,3.87
0.53,"Premium","D","VS2",61.5,58,1857,5.2,5.24,3.21
0.41,"Ideal","F","VVS2",61,56,1115,4.78,4.82,2.93
0.34,"Ideal","G","IF",62.2,53,974,4.49,4.52,2.8
1.11,"Ideal","I","SI1",62.2,54,5006,6.64,6.68,4.14
0.4,"Ideal","E","VVS1",62.6,56,1333,4.7,4.73,2.95
0.55,"Ideal","F","VVS2",62.4,55,2242,5.24,5.28,3.28
1.72,"Premium","H","SI2",62.3,58,10869,7.71,7.6,4.77
0.46,"Ideal","I","VS1",62.3,56,974,4.96,4.93,3.08
0.36,"Premium","H","SI1",61.3,57,665,4.65,4.61,2.84
0.72,"Ideal","G","SI2",60.8,57,2449,5.79,5.82,3.52
1.02,"Ideal","E","SI2",61.6,55,4824,6.46,6.52,4
0.32,"Ideal","G","VS2",61.7,57,720,4.4,4.38,2.71
1.17,"Ideal","F","VVS1",62.1,57,11886,6.82,6.73,4.21
1.24,"Premium","E","I1",61.1,62,3528,6.91,6.86,4.21
1.7,"Premium","F","SI2",60.1,58,11322,7.74,7.67,4.63
0.5,"Very Good","G","VVS1",63.3,56,2070,5.1,5.07,3.22
0.31,"Ideal","D","VVS1",62.3,54,949,4.36,4.4,2.73
0.38,"Ideal","E","SI1",61.4,57,653,4.64,4.67,2.86
0.7,"Very Good","G","VS2",62.7,57,2507,5.65,5.7,3.56
1.7,"Very Good","J","SI1",63.2,57,9253,7.63,7.55,4.8
0.78,"Good","D","VS2",64,54,3298,5.82,5.86,3.74
1,"Very Good","D","VS2",61.5,63,7146,6.35,6.31,3.89
1.7,"Premium","I","VS2",60.5,61,11369,7.68,7.65,4.64
0.69,"Premium","H","VS2",60.8,59,1863,5.77,5.74,3.5
0.71,"Ideal","E","VS2",62,55,3247,5.7,5.75,3.55
0.71,"Ideal","F","SI2",65.3,53,2445,5.64,5.58,3.67
0.3,"Premium","E","VS2",62.2,60,844,4.28,4.24,2.65
0.52,"Ideal","G","VVS2",61.7,56,2012,5.16,5.14,3.18
0.9,"Very Good","G","SI1",61.6,59,3597,6.13,6.19,3.8
0.71,"Premium","E","VS2",61.5,60,2858,5.76,5.68,3.52
0.51,"Ideal","D","VS2",60.9,56,1787,5.16,5.19,3.15
1.02,"Ideal","G","IF",62.5,57,8311,6.44,6.37,4
0.55,"Ideal","E","SI1",60.7,57,1551,5.27,5.3,3.21
0.56,"Ideal","H","SI1",61.8,55,1214,5.31,5.34,3.29
2.06,"Very Good","I","SI2",62.3,57,14298,8.12,8.2,5.09
0.45,"Good","E","VS1",61.7,63,1241,4.88,4.91,3.02
1.21,"Premium","I","SI1",61.6,58,5353,6.89,6.84,4.23
1.02,"Premium","E","SI1",62.8,58,5429,6.45,6.39,4.03
0.3,"Good","G","VVS1",63.2,58,789,4.23,4.25,2.68
1.51,"Very Good","I","SI1",61.6,58,9283,7.35,7.3,4.51
0.3,"Good","D","SI1",63.1,55,552,4.28,4.31,2.71
0.37,"Very Good","G","VS1",61.5,58,746,4.57,4.6,2.82
0.93,"Premium","E","SI1",61.4,57,4229,6.34,6.23,3.86
0.32,"Ideal","G","VS1",61.2,57,828,4.43,4.4,2.7
0.53,"Premium","E","VS2",59.9,61,1946,5.3,5.25,3.16
0.9,"Good","E","SI2",61.3,61,3895,6.13,6.17,3.77
2.28,"Premium","H","SI1",59.3,58,13919,8.6,8.56,5.09
1.1,"Ideal","G","SI1",61.6,56,6837,6.62,6.65,4.08
1.01,"Fair","E","SI1",65.6,59,4106,6.22,6.18,4.07
1.32,"Ideal","G","VVS2",61.6,56,13261,7.03,7.08,4.35
1.41,"Ideal","H","SI2",62,56,8030,7.17,7.24,4.47
0.41,"Ideal","I","VVS2",61.6,55,788,4.78,4.8,2.95
0.77,"Ideal","E","SI2",61,57,2519,5.91,5.93,3.61
0.53,"Premium","F","SI1",61.4,58,1324,5.19,5.17,3.18
0.58,"Ideal","F","VVS2",61.8,56,2263,5.37,5.41,3.33
0.4,"Premium","G","VS2",60.4,58,966,4.78,4.75,2.88
0.7,"Very Good","J","SI1",61.7,57,1979,5.65,5.69,3.5
0.4,"Ideal","G","VVS1",62.4,54,1043,4.73,4.76,2.96
0.27,"Very Good","E","VVS1",62.6,58,620,4.11,4.16,2.59
0.52,"Ideal","F","VVS1",61.2,56,2867,5.21,5.19,3.18
0.4,"Very Good","G","VVS2",59.2,63,945,4.88,4.81,2.87
0.35,"Premium","I","VS1",61.1,60,552,4.52,4.58,2.78
0.91,"Very Good","G","SI1",62.8,56,4922,6.16,6.2,3.88
0.7,"Fair","F","I1",66.5,62,992,5.54,5.49,3.67
1.21,"Premium","E","SI2",61,58,4933,6.93,6.88,4.21
0.7,"Premium","G","SI1",61.5,58,2010,5.69,5.76,3.52
1.1,"Very Good","H","SI1",62.5,56,4414,6.56,6.63,4.12
0.44,"Ideal","G","SI1",61.5,57,772,4.87,4.88,3
0.45,"Ideal","E","VVS2",61.9,56,1401,4.95,4.91,3.05
0.33,"Ideal","E","VVS2",61.8,56,891,4.44,4.46,2.75
0.54,"Very Good","G","SI1",60.4,56,1404,5.29,5.34,3.21
0.7,"Very Good","F","VS1",59.9,60,2810,5.77,5.84,3.48
0.36,"Premium","G","SI2",59.3,59,608,4.66,4.62,2.75
0.32,"Premium","E","VS2",61.7,58,702,4.38,4.41,2.71
1.02,"Good","H","SI2",58.2,60,3940,6.49,6.57,3.8
0.43,"Premium","F","VVS2",61.6,60,1169,4.82,4.86,2.98
1.51,"Premium","D","SI2",61.4,56,8311,7.37,7.32,4.51
0.61,"Ideal","I","SI2",61.1,57,1401,5.46,5.49,3.34
0.31,"Ideal","D","VS2",62.3,55,942,4.37,4.33,2.71
1.11,"Ideal","D","SI2",61.3,56,6129,6.68,6.74,4.12
1.01,"Premium","F","SI2",58.8,62,4197,6.49,6.46,3.81
0.42,"Very Good","G","SI1",63.1,56,882,4.79,4.75,3.01
0.7,"Ideal","E","SI1",61.8,56,2576,5.72,5.68,3.52
0.75,"Premium","D","SI1",61.3,59,2484,5.89,5.82,3.59
0.82,"Premium","F","SI2",62.5,59,2544,6,5.94,3.73
1.28,"Premium","H","SI1",62.1,62,6210,6.88,6.83,4.26
0.7,"Very Good","D","SI1",63.5,58,2686,5.61,5.64,3.57
2.03,"Very Good","I","SI1",62.2,59,16693,8.03,8.09,5.01
0.39,"Very Good","G","VS1",62.4,57,855,4.62,4.68,2.9
0.53,"Good","F","VS1",61.8,62.8,1624,5.13,5.16,3.18
0.4,"Very Good","E","SI1",61.7,60,687,4.68,4.72,2.9
1.03,"Very Good","H","VS2",59.9,59,5620,6.5,6.52,3.9
1.11,"Ideal","H","SI1",62.7,56,5386,6.65,6.59,4.15
1.25,"Premium","I","SI1",59.7,59,5390,7.03,6.97,4.18
1.09,"Ideal","G","VVS1",61,54,9282,6.63,6.72,4.07
1.15,"Premium","E","SI2",62.3,58,4688,6.73,6.67,4.18
1.5,"Premium","J","SI2",61.3,59,5351,7.38,7.33,4.51
0.51,"Ideal","G","VS1",61.9,56,1668,5.11,5.14,3.17
0.7,"Good","H","VS2",64.1,58,2137,5.51,5.57,3.55
0.52,"Very Good","H","VS1",63.5,58,1572,5.08,5.13,3.24
1.65,"Ideal","G","VS2",60.8,56,14456,7.65,7.7,4.67
1.69,"Premium","G","VVS2",62.9,58,15889,7.59,7.51,4.75
0.91,"Very Good","D","SI1",63.2,59,4466,6.11,6.14,3.87
0.34,"Ideal","D","SI1",61.5,53,626,4.51,4.53,2.78
0.43,"Ideal","F","VVS2",61.5,55,1148,4.85,4.88,2.99
1.22,"Premium","F","SI1",62.5,59,7059,6.83,6.78,4.25
0.31,"Very Good","H","VS2",63.2,58,628,4.33,4.31,2.73
1.22,"Premium","I","SI2",62.3,58,4831,6.8,6.85,4.25
1,"Premium","F","VS2",58.6,61,6468,6.53,6.5,3.82
1.62,"Very Good","E","SI2",60.8,59,9355,7.57,7.62,4.62
1.01,"Premium","D","VVS2",61.6,58,10797,6.44,6.39,3.95
0.32,"Ideal","D","VS2",62.1,53,671,4.42,4.44,2.75
0.54,"Ideal","G","VS1",62,56,1847,5.24,5.21,3.24
0.32,"Ideal","G","VVS2",61.7,57,730,4.41,4.44,2.73
0.33,"Ideal","I","VS2",61.4,56,480,4.45,4.48,2.74
0.31,"Good","F","VS1",63.9,55,779,4.3,4.27,2.74
1.01,"Very Good","D","SI2",59.1,63,3605,6.54,6.59,3.88
0.3,"Ideal","F","VS2",62.3,57,605,4.3,4.33,2.69
0.36,"Ideal","D","SI1",62,56,851,4.61,4.55,2.84
0.74,"Very Good","I","VS2",60.9,56,2459,5.83,5.86,3.56
1.01,"Very Good","H","SI1",62.5,58,4052,6.37,6.42,4
1.55,"Very Good","E","SI2",59.5,56,9557,7.56,7.59,4.51
0.35,"Very Good","H","SI1",60,61,491,4.57,4.6,2.75
1.13,"Ideal","F","I1",62.2,55,3607,6.68,6.63,4.14
1.07,"Premium","H","VS2",60.6,60,4374,6.66,6.63,4.03
0.7,"Ideal","I","VS1",61.5,56,2490,5.73,5.76,3.53
2.03,"Premium","G","VS2",59.6,60,18680,8.27,8.21,4.91
1.23,"Ideal","G","VS1",61.8,57,8465,6.89,6.86,4.25
0.32,"Very Good","F","VVS2",63,56,721,4.37,4.39,2.76
0.24,"Very Good","E","VS1",62.5,55,412,3.96,3.98,2.48
0.9,"Very Good","H","VS2",62.6,59,5502,6.07,6.16,3.83
1.12,"Ideal","I","VS2",61.2,54,5392,6.74,6.77,4.13
1.04,"Ideal","H","SI1",61.9,57,4515,6.49,6.46,4.01
1.54,"Premium","I","SI1",60.1,58,9314,7.53,7.48,4.51
0.9,"Good","I","SI2",64,55,2503,6.11,6.05,3.89
0.43,"Ideal","F","SI1",61.6,57,1016,4.85,4.8,2.97
0.35,"Ideal","I","VS1",61.6,56,552,4.54,4.58,2.81
1.11,"Premium","G","SI2",58.8,59,4692,6.8,6.76,3.99
0.42,"Very Good","I","VS1",60.4,60,791,4.82,4.88,2.93
0.26,"Ideal","G","VS1",62.5,53,508,4.1,4.13,2.57
0.51,"Premium","G","SI2",60.8,59,1052,5.2,5.19,3.16
0.73,"Very Good","D","VS1",61.1,59,4116,5.79,5.86,3.56
0.38,"Premium","F","SI1",62.7,58,700,4.6,4.62,2.89
1.56,"Good","J","VS2",62.3,64,8107,7.41,7.36,4.6
1.51,"Ideal","J","VS1",61.9,58,8170,7.28,7.33,4.52
0.32,"Ideal","D","VS2",61.1,56,972,4.41,4.39,2.69
0.72,"Premium","D","SI1",62.7,59,2782,5.73,5.69,3.58
1.57,"Ideal","H","VS2",61.8,55,12004,7.45,7.49,4.62
0.33,"Premium","H","VS1",61.9,58,579,4.43,4.45,2.75
1.2,"Premium","J","VS1",59.1,61,5107,7,6.94,4.12
1.08,"Ideal","H","SI1",60.6,59,5756,6.61,6.65,4.02
0.86,"Ideal","D","SI2",60.2,56,3284,6.16,6.19,3.72
0.35,"Ideal","F","SI1",62.4,55,748,4.55,4.52,2.83
1.04,"Ideal","G","SI2",61.4,57,4375,6.48,6.54,4
1.2,"Very Good","F","VVS2",63.8,58,10173,6.67,6.69,4.26
0.61,"Premium","I","VS2",61.8,56,1438,5.44,5.41,3.35
0.65,"Very Good","H","VVS1",61.6,58,2318,5.57,5.62,3.42
0.3,"Ideal","F","VVS1",58,60,802,4.34,4.37,2.64
0.74,"Premium","E","VS2",62.4,59,3108,5.77,5.73,3.59
0.31,"Ideal","I","SI1",62.7,56,523,4.34,4.3,2.71
0.42,"Fair","D","SI1",64.7,61,675,4.7,4.73,3.05
0.71,"Ideal","H","VS1",62.8,57,2685,5.65,5.72,3.57
2.03,"Ideal","F","SI2",63.3,55,18458,7.96,8.05,5.08
0.71,"Ideal","I","VVS2",60.6,57,2463,5.73,5.78,3.49
1,"Premium","G","VS2",60.6,60,6048,6.4,6.3,3.85
0.79,"Ideal","G","SI2",60.8,57,2453,5.99,5.96,3.63
0.38,"Premium","D","VS2",58.8,61,1117,4.74,4.71,2.78
0.39,"Ideal","G","VVS2",61.1,56,974,4.7,4.72,2.88
1.02,"Good","F","VS2",64.2,59,6397,6.4,6.28,4.07
1.01,"Ideal","G","SI1",61.4,55,4653,6.46,6.5,3.98
1.5,"Very Good","J","VS2",62.6,58,7492,7.25,7.29,4.55
1.7,"Premium","G","SI1",62.1,57,13417,7.61,7.55,4.71
1.04,"Premium","H","SI1",60.7,62,5311,6.57,6.51,3.97
1.73,"Very Good","J","VS2",60.9,59,9510,7.72,7.76,4.71
0.31,"Premium","E","VVS1",62,59,1012,4.34,4.3,2.68
0.52,"Premium","G","SI1",60.7,59,1280,5.22,5.19,3.16
1.63,"Premium","G","SI2",62.5,57,9730,7.57,7.54,4.72
0.91,"Premium","F","SI2",61.4,60,3682,6.21,6.23,3.82
0.43,"Premium","F","SI2",60.5,59,871,4.91,4.88,2.96
0.48,"Very Good","E","SI1",62.7,58.5,1349,4.99,5.01,3.14
1,"Premium","H","VVS1",62.3,60,6132,6.36,6.28,3.94
0.52,"Ideal","F","IF",61.5,57,2749,5.15,5.19,3.18
0.7,"Ideal","E","VS2",62.2,55,2981,5.67,5.71,3.54
0.38,"Premium","D","SI1",59.1,58,815,4.77,4.74,2.81
0.32,"Ideal","H","VVS1",62.1,54,936,4.42,4.4,2.74
0.58,"Premium","G","VS1",61.5,58,1984,5.41,5.35,3.31
0.71,"Premium","G","SI1",61.3,57,2386,5.74,5.72,3.51
0.33,"Ideal","G","VS1",62.9,57,854,4.43,4.38,2.77
0.91,"Very Good","F","SI2",62.4,58,3659,6.17,6.21,3.86
0.28,"Very Good","F","VVS2",59.7,59,642,4.26,4.28,2.55
0.41,"Very Good","D","VVS1",61.9,60,1376,4.71,4.75,2.93
2.36,"Ideal","H","SI2",61.8,56,14146,8.57,8.53,5.28
0.9,"Premium","J","VVS1",62,58,3617,6.19,6.11,3.81
0.3,"Ideal","E","VVS2",61.7,57,1013,4.34,4.31,2.67
0.43,"Ideal","F","SI1",61.8,56,1016,4.87,4.84,3
0.51,"Ideal","H","IF",62,54,1879,5.14,5.18,3.2
1,"Very Good","E","SI2",63.5,56,3763,6.37,6.3,4.02
0.55,"Ideal","E","SI1",61.7,57,1551,5.23,5.27,3.24
0.55,"Ideal","E","SI1",60.6,56,1668,5.33,5.3,3.22
1.28,"Ideal","G","VVS1",62.1,56,11147,6.93,6.96,4.31
0.79,"Ideal","I","VS1",62.2,57,2958,5.89,5.94,3.68
0.79,"Good","F","VS1",57.7,58,3436,6.06,6.14,3.52
1.04,"Very Good","D","VS2",63.1,54,7679,6.44,6.53,4.09
0.26,"Very Good","E","VVS2",62.9,56,614,4.07,4.1,2.57
2.01,"Fair","J","VS1",66.6,54,14402,7.76,7.92,5.22
0.71,"Ideal","E","VS2",62.7,57,2817,5.66,5.64,3.54
0.7,"Very Good","F","VS2",61.7,60,2744,5.63,5.65,3.48
1.01,"Very Good","H","SI1",61.2,60,5433,6.41,6.44,3.93
1.01,"Premium","H","SI2",62.7,59,2788,6.31,6.22,3.93
0.35,"Ideal","G","IF",61.8,55,1116,4.56,4.54,2.81
0.63,"Premium","D","VS1",59.2,61,2554,5.6,5.55,3.3
1.27,"Ideal","G","SI2",61.8,56,6045,6.96,6.93,4.29
0.6,"Fair","E","SI2",66.5,56,1033,5.31,5.21,3.5
1.01,"Very Good","I","SI2",63.7,56,4047,6.33,6.38,4.05
0.56,"Ideal","F","VS1",61.7,54,2016,5.32,5.28,3.27
0.4,"Very Good","G","SI2",62.9,57,630,4.68,4.7,2.95
0.73,"Ideal","I","VVS2",63.3,57,2485,5.77,5.73,3.64
0.3,"Ideal","E","VS2",61.8,56,844,4.32,4.29,2.66
