"carat","cut","color","clarity","depth","table","price","x","y","z"
1,"Premium","D","SI2",61.6,58,4626,6.45,6.37,3.95
0.31,"Very Good","I","VS1",62.8,57,489,4.28,4.32,2.7
0.3,"Ideal","E","VVS2",62.4,54,742,4.31,4.34,2.7
0.7,"Fair","F","VS2",65.5,57,2369,5.55,5.41,3.59
2.8,"Good","G","SI2",63.8,58,18788,8.9,8.85,0
0.31,"Premium","E","VS2",62.7,58,872,4.33,4.31,2.71
0.73,"Premium","I","VVS2",60.6,58,2496,5.78,5.84,3.52
0.54,"Very Good","H","VS2",63.2,55,1439,5.24,5.2,3.3
0.7,"Premium","F","SI1",59.9,58,2306,5.73,5.69,3.42
1,"Premium","F","SI1",61.9,60,5645,6.39,6.34,3.94
0.39,"Premium","F","SI1",61.3,62,860,4.71,4.68,2.88
0.51,"Premium","E","VS2",61.9,59,1656,5.06,5.11,3.15
0.71,"Good","F","VS2",57.8,60,2801,5.9,5.87,3.4
0.9,"Premium","H","VS2",60.4,59,4246,6.27,6.24,3.78
0.59,"Very Good","H","VS1",62.1,55,1757,5.37,5.41,3.35
0.76,"Very Good","E","SI1",63,59,2668,5.76,5.8,3.64
0.71,"Very Good","D","VS2",61.8,55,3084,5.72,5.74,3.54
0.32,"Ideal","G","IF",61.6,55,918,4.4,4.43,2.72
0.52,"Ideal","D","SI2",62.9,56,1385,5.17,5.14,3.24
0.7,"Ideal","E","SI1",61.4,57,2777,5.76,5.7,3.52
0.71,"Premium","F","VS1",62.1,53,2961,5.77,5.7,3.56
1.22,"Very Good","G","SI2",63.2,58,6409,6.82,6.76,4.29
0.3,"Very Good","F","SI1",62.1,61,500,4.25,4.29,2.65
1.04,"Ideal","E","SI2",62.3,55,5531,6.46,6.49,4.03
0.41,"Ideal","G","SI1",61.8,55,876,4.8,4.81,2.97
2.01,"Premium","I","VS2",62.8,58,16778,8.01,7.94,5.01
1.57,"Very Good","D","SI2",62.9,61,9698,7.37,7.41,4.65
0.31,"Ideal","F","VVS2",61.5,56,775,4.35,4.37,2.68
0.57,"Premium","E","VS2",63,59,1778,5.29,5.25,3.32
1.52,"Premium","G","VS2",62,58,13483,7.33,7.39,4.56
0.31,"Premium","E","VS2",61,58,872,4.39,4.37,2.67
1.01,"Very Good","F","SI2",61.8,56,4298,6.43,6.38,3.96
0.57,"Premium","G","VS2",62.1,57,1728,5.3,5.27,3.28
0.33,"Ideal","F","VS1",59.9,56,990,4.54,4.51,2.71
0.41,"Ideal","F","IF",62.3,55,1439,4.78,4.82,2.99
1.22,"Ideal","I","SI1",62.5,56,5124,6.82,6.79,4.25
0.4,"Premium","F","SI1",61.5,60,882,4.77,4.7,2.91
0.28,"Ideal","E","VS2",61.5,56,598,4.22,4.24,2.6
0.58,"Very Good","E","VS1",62.9,54,2082,5.31,5.34,3.35
0.3,"Ideal","I","VVS1",62.2,54,532,4.29,4.35,2.68
1.5,"Good","J","VS1",60.7,61,8347,7.27,7.3,4.42
1.51,"Premium","I","SI2",62.6,59,7162,7.28,7.31,4.57
0.34,"Premium","F","VS2",59.2,60,686,4.56,4.6,2.71
0.72,"Very Good","I","VVS2",61.7,55,2532,5.76,5.81,3.57
0.3,"Premium","G","VS1",62.2,59,776,4.31,4.28,2.67
0.36,"Ideal","F","VVS2",62.4,55,896,4.54,4.57,2.84
0.35,"Premium","G","SI1",60.3,60,522,4.57,4.59,2.76
0.9,"Very Good","D","SI1",61.8,61,4068,6.16,6.2,3.82
0.29,"Ideal","H","VS1",61.8,57,498,4.27,4.31,2.64
2.29,"Very Good","H","SI2",63.4,57,11502,8.4,8.33,5.3
1.11,"Premium","I","SI1",60.6,59,4911,6.73,6.66,4.06
1.04,"Ideal","I","VS2",62.9,56,4013,6.5,6.41,4.06
0.55,"Ideal","H","SI1",61.5,54,1248,5.3,5.33,3.27
0.71,"Ideal","G","SI1",61.6,56,2649,5.73,5.76,3.54
0.41,"Premium","F","VS2",60.3,60,863,4.81,4.84,2.91
0.7,"Very Good","E","VVS1",62.5,56,3724,5.63,5.7,3.54
0.55,"Ideal","D","VS2",60.6,56,2224,5.3,5.36,3.23
0.41,"Ideal","H","VVS1",62.7,54,1043,4.78,4.79,3
0.5,"Premium","F","SI1",62.4,57,1838,5.13,5.1,3.19
1.22,"Ideal","G","VVS1",61.1,56,10888,6.91,6.94,4.23
1,"Premium","E","VS2",60.4,57,6720,6.49,6.46,3.91
1.63,"Good","F","SI1",57.7,60,10901,7.71,7.79,4.47
1.01,"Ideal","E","SI2",61.6,58,4668,6.45,6.5,3.99
0.73,"Ideal","E","VS1",61.9,56,3510,5.78,5.81,3.59
0.44,"Ideal","G","SI1",62.7,57,990,4.85,4.82,3.03
1.2,"Very Good","H","SI1",62.3,57,6569,6.78,6.76,4.22
1.12,"Ideal","D","SI2",62.6,57,5456,6.61,6.65,4.15
0.31,"Ideal","I","IF",62.2,54,837,4.39,4.36,2.72
0.52,"Ideal","G","VVS2",61.4,55.3,1957,5.18,5.21,3.19
1.01,"Premium","H","SI2",61.3,59,4355,6.47,6.41,3.95
0.32,"Ideal","I","SI1",62.4,57,432,4.35,4.37,2.72
0.31,"Premium","I","VVS2",61.6,59,698,4.33,4.31,2.66
0.42,"Premium","D","VS1",60.8,59,1179,4.79,4.85,2.93
0.23,"Ideal","F","VVS1",62.4,55,505,3.94,3.95,2.46
0.52,"Ideal","G","VS1",61.2,56,1803,5.19,5.23,3.19
0.56,"Premium","I","VVS1",60.6,59,1622,5.29,5.33,3.22
1.26,"Ideal","E","SI2",62.4,57,4939,6.91,6.85,4.29
0.64,"Good","F","IF",58.6,61,2980,5.69,5.71,3.34
0.31,"Ideal","J","SI1",62.4,53,379,4.38,4.4,2.74
1.52,"Premium","E","SI1",60.2,58,10180,7.44,7.37,4.46
0.7,"Ideal","F","VS1",60.3,57,3359,5.74,5.79,3.47
1.52,"Very Good","H","VVS2",63,60,11904,7.25,7.3,4.58
0.7,"Ideal","G","VS1",61.9,57,2724,5.7,5.68,3.52
1.56,"Ideal","I","SI1",61.4,56,8858,7.47,7.42,4.57
0.9,"Good","E","SI1",60.8,65,3933,6.14,6.17,3.74
1.04,"Ideal","G","VS1",61.5,57,7457,6.5,6.54,4.01
2.01,"Very Good","F","SI2",60.3,60,16728,8.08,8.11,4.88
0.42,"Very Good","G","VS2",60.1,61,847,4.81,4.84,2.9
0.53,"Ideal","H","VS2",62.5,56,1412,5.19,5.15,3.23
1.29,"Very Good","G","SI2",63.3,61,4937,6.84,6.8,4.32
0.51,"Ideal","E","VVS2",61.7,57,2209,5.11,5.14,3.16
0.6,"Very Good","G","VVS1",61.2,56,2528,5.41,5.46,3.32
1.02,"Ideal","H","SI2",61.6,55,2856,6.49,6.43,3.98
0.7,"Good","E","SI2",61,64,2116,5.63,5.69,3.45
0.34,"Ideal","G","IF",61.7,55,1084,4.5,4.48,2.77
0.32,"Premium","D","VVS1",62,60,973,4.4,4.37,2.72
0.3,"Very Good","D","VS1",62.2,58,742,4.25,4.27,2.65
0.3,"Ideal","H","VS2",62.3,56,491,4.29,4.31,2.68
0.31,"Premium","F","VS2",61.2,58,802,4.37,4.35,2.67
0.38,"Good","D","VS2",63.4,55,871,4.63,4.67,2.95
0.32,"Very Good","H","SI2",63.2,55,504,4.36,4.34,2.75
0.34,"Ideal","G","VS2",62.5,57,765,4.5,4.46,2.8
0.28,"Very Good","F","VVS1",61.4,60,642,4.19,4.22,2.58
0.4,"Good","I","IF",62.3,62,945,4.69,4.72,2.93
0.32,"Very Good","E","SI1",63.1,54,672,4.41,4.37,2.77
1.5,"Fair","I","I1",66.1,57,4704,7.12,7.04,4.68
0.46,"Ideal","F","IF",62,55,1950,4.96,4.98,3.08
2.03,"Very Good","I","SI1",62.2,59,16693,8.03,8.09,5.01
0.6,"Ideal","H","SI2",61.9,55,1238,5.43,5.46,3.37
0.51,"Ideal","H","VS2",61.7,56,1563,5.13,5.18,3.18
1.55,"Premium","H","VS2",60.7,59,11738,7.46,7.5,4.54
0.9,"Premium","D","SI2",58.8,59,3579,6.28,6.24,3.68
0.27,"Premium","D","VS2",62,57,603,4.15,4.11,2.56
0.46,"Ideal","I","VS1",62,54,997,4.97,4.99,3.09
0.5,"Premium","G","VVS2",62.2,61,1806,5.09,5.07,3.16
1.31,"Premium","E","SI1",62.4,58,8767,7.03,6.95,4.36
0.92,"Very Good","J","VS2",60.9,62,3146,6.26,6.31,3.83
1,"Premium","G","VS1",59.2,60,6115,6.6,6.54,3.89
0.9,"Ideal","G","SI2",61.2,57,3521,6.24,6.28,3.83
0.71,"Ideal","D","VS2",62.5,55,3217,5.71,5.74,3.58
2.01,"Very Good","I","VS1",63,59,18500,7.87,7.94,4.98
0.96,"Premium","H","SI2",59.2,61,3871,6.42,6.36,3.78
2.18,"Premium","F","SI1",61.2,60,18717,8.38,8.3,5.1
1.13,"Premium","I","SI2",62.2,59,3987,6.67,6.61,4.13
0.7,"Premium","F","SI1",61.3,59,2161,5.71,5.74,3.51
