"carat","cut","color","clarity","depth","table","price","x","y","z"
0.5,"Ideal","D","VS1",60.6,57,2454,5.15,5.18,3.13
0.9,"Premium","D","SI1",62.8,59,4612,6.18,6.14,3.87
0.27,"Ideal","I","VVS2",61.2,56,587,4.18,4.2,2.56
0.4,"Good","I","SI1",63.2,55,596,4.68,4.72,2.97
0.62,"Ideal","I","SI2",62.5,55,1161,5.45,5.49,3.42
0.32,"Ideal","D","VVS2",61.6,55,1107,4.41,4.45,2.73
1.5,"Very Good","H","VS2",63.4,57,10206,7.27,7.2,4.59
0.9,"Very Good","H","VVS2",61.8,60,4617,6.11,6.15,3.79
0.53,"Ideal","F","VS2",61.5,55,1753,5.27,5.2,3.22
0.33,"Ideal","H","VS1",61.8,56,743,4.46,4.41,2.74
1.51,"Premium","H","IF",60.2,60,13194,7.44,7.41,4.47
0.9,"Ideal","G","SI1",61.6,57,4001,6.17,6.24,3.82
0.31,"Premium","D","VS2",62.5,52,816,4.4,4.37,2.74
0.33,"Ideal","H","SI1",61.7,55,564,4.43,4.46,2.74
0.81,"Ideal","F","SI1",61.2,57,3146,6,6.05,3.69
2.13,"Premium","J","SI2",62.6,58,13148,8.21,8.18,5.13
0.5,"Good","E","SI2",63.1,58,1077,5.05,5.09,3.2
1.12,"Good","F","VS2",63.8,57,6925,6.59,6.61,4.21
0.5,"Very Good","F","SI2",62.2,54,997,5.08,5.14,3.18
0.31,"Ideal","F","VS1",61.2,56,821,4.4,4.42,2.7
1.5,"Ideal","H","VS1",61.2,56,12055,7.39,7.4,4.52
0.75,"Fair","F","SI2",65.1,57,2102,5.7,5.66,3.7
0.77,"Ideal","D","VS1",62.2,55,4039,5.85,5.88,3.65
1.07,"Premium","F","SI2",61.8,58,4366,6.51,6.57,4.04
0.42,"Ideal","D","VVS1",62.8,56,1621,4.8,4.76,3
0.53,"Ideal","I","VS1",62.3,56,1427,5.19,5.23,3.24
0.78,"Good","D","SI2",57.5,63,2430,6.13,6.05,3.5
1,"Good","J","SI1",58.7,62,3614,6.47,6.51,3.81
1,"Premium","H","VS1",61.5,57,5387,6.44,6.37,3.94
0.6,"Ideal","G","VVS2",61.3,56,2467,5.43,5.46,3.34
0.93,"Very Good","J","VS2",63.3,61,3208,6.19,6.14,3.9
0.31,"Good","F","SI1",63.1,55,516,4.28,4.34,2.72
0.41,"Fair","I","VS1",65.3,58,735,4.62,4.66,3.03
1.51,"Premium","H","SI2",60.4,59,7864,7.3,7.27,4.4
0.35,"Ideal","F","VS2",62.1,57,706,4.53,4.55,2.82
1.01,"Good","F","SI1",64.2,58,4199,6.31,6.33,4.06
0.32,"Premium","H","VS1",62.3,58,720,4.39,4.34,2.72
1,"Good","D","SI1",59.9,62,6568,6.41,6.45,3.85
0.3,"Ideal","H","SI1",60.7,56,465,4.35,4.37,2.65
0.32,"Ideal","G","VVS2",61.4,55,730,4.4,4.43,2.71
1.02,"Good","D","SI1",64.3,54,4558,6.32,6.27,4.05
0.76,"Ideal","E","SI1",61.5,56,3003,5.89,5.91,3.63
0.77,"Ideal","E","VVS1",61.6,55,5251,5.87,5.95,3.64
1.01,"Premium","E","VS2",59.5,60,5882,6.3,6.24,3.73
0.41,"Ideal","E","VS1",60.4,55,1115,4.85,4.89,2.94
0.82,"Premium","J","SI1",61.2,58,2283,6.04,5.99,3.68
0.31,"Ideal","D","SI1",61.8,57,684,4.37,4.33,2.69
0.52,"Ideal","F","VS2",62.5,54,1600,5.14,5.17,3.22
1.04,"Premium","E","VVS1",62.5,59,10539,6.46,6.41,4.02
0.9,"Ideal","G","SI1",61.6,58,4008,6.16,6.21,3.81
0.5,"Very Good","G","VVS1",63.7,58,2180,5.01,5.04,5.06
0.39,"Very Good","G","VS1",62.7,58,798,4.63,4.69,2.92
0.55,"Premium","E","VS2",59.1,62,1664,5.37,5.32,3.16
0.29,"Very Good","G","VS2",62,55,471,4.24,4.27,2.63
0.4,"Very Good","G","SI2",63.1,59,765,4.7,4.65,2.95
0.41,"Ideal","F","VVS2",62.9,54,1192,4.74,4.7,2.97
0.61,"Good","H","VS1",60.1,60.3,1706,5.47,5.5,3.29
0.4,"Very Good","F","VVS2",62.9,55,972,4.72,4.75,2.98
1.3,"Premium","J","VS1",61.6,56,6334,7.06,7,4.33
1.08,"Very Good","H","SI2",63,59,4481,6.51,6.54,4.11
1,"Very Good","F","VVS1",62.5,57,9201,6.31,6.36,3.96
0.52,"Very Good","H","SI1",62.6,59,1161,5.06,5.13,3.19
0.32,"Premium","E","SI2",61.7,60,449,4.38,4.41,2.71
0.96,"Premium","H","SI1",63,58,4026,6.27,6.23,3.94
0.35,"Very Good","I","VS2",62.6,54,527,4.5,4.53,2.82
0.7,"Very Good","E","VS2",61.8,59,2845,5.65,5.68,3.5
1.5,"Very Good","D","VS2",62.4,59,13287,7.21,7.27,4.52
0.54,"Ideal","I","VS2",61.5,55,1259,5.25,5.29,3.24
0.3,"Good","G","VVS2",62.6,58,678,4.25,4.28,2.67
1,"Very Good","F","SI2",62.9,59,4037,6.27,6.38,3.98
0.71,"Very Good","E","VVS2",61.7,60,3376,5.7,5.74,3.53
0.41,"Very Good","F","VVS1",62.3,54,1161,4.75,4.79,2.97
0.3,"Very Good","E","SI1",63.1,53,675,4.32,4.27,2.71
0.37,"Ideal","H","SI1",62.1,56,552,4.6,4.61,2.86
0.77,"Ideal","G","SI2",61.2,57,2275,5.94,5.98,3.65
0.28,"Very Good","I","VS1",60.9,57,462,4.22,4.25,2.58
1.2,"Very Good","J","SI1",61.4,59,4752,6.82,6.87,4.2
1,"Fair","H","SI1",55.2,64,3830,6.69,6.64,3.68
0.72,"Very Good","H","SI2",62.9,57,1970,5.64,5.68,3.56
0.31,"Ideal","D","VS2",60.4,56,734,4.39,4.42,2.66
1.01,"Very Good","E","VS2",60.4,60,7094,6.47,6.44,3.9
0.23,"Good","G","VVS2",63.8,56,537,3.94,3.9,2.5
0.61,"Premium","H","VVS2",60.9,60,1752,5.47,5.5,3.34
1.11,"Ideal","H","SI2",62.7,57,4662,6.66,6.59,4.14
1.06,"Ideal","G","VS2",62.7,55,6411,6.53,6.49,4.08
0.57,"Ideal","H","VS1",61.3,55.1,1720,5.34,5.42,3.29
0.51,"Very Good","D","VS1",62.2,59,1959,5.1,5.13,3.18
1,"Very Good","I","VS2",63.5,56,4620,6.33,6.3,4.01
1.01,"Premium","F","SI2",62,59,4072,6.49,6.43,4.01
0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
1.5,"Premium","G","VS1",60.2,58,13720,7.41,7.38,4.45
1.23,"Ideal","G","VS1",61.8,57,8465,6.89,6.86,4.25
0.71,"Ideal","F","SI1",61.3,56,2491,5.73,5.79,3.53
1.2,"Very Good","F","IF",62.3,60,12905,6.74,6.8,4.22
2.02,"Premium","F","SI2",61,59,11962,8.2,8.13,4.98
1.04,"Premium","F","SI1",59.5,60,5882,6.62,6.59,3.93
1.19,"Very Good","E","I1",60.2,61,3508,6.87,6.91,4.15
0.61,"Very Good","H","VS1",60.1,56,2123,5.55,5.59,3.35
0.31,"Ideal","E","SI1",62.4,57,544,4.31,4.34,2.7
0.69,"Very Good","G","VVS2",63.8,53.7,2553,5.6,5.72,3.61
0.42,"Premium","F","SI1",61.8,58,773,4.81,4.84,2.98
0.4,"Ideal","H","SI1",62.6,52,705,4.73,4.76,2.97
1.2,"Very Good","I","SI1",62.2,55,5408,6.75,6.92,4.25
0.71,"Premium","J","SI1",61,61,1853,5.71,5.66,3.47
0.71,"Very Good","E","VS2",59.6,60,2954,5.8,5.85,3.47
0.86,"Ideal","G","SI2",61.9,55,3442,6.11,6.14,3.79
0.7,"Ideal","J","VS2",61.5,57,1971,5.7,5.74,3.52
0.23,"Very Good","E","VVS2",62.6,59,505,3.93,3.96,2.47
1.02,"Ideal","G","SI1",61.5,57,5398,6.54,6.44,3.99
1.08,"Premium","H","VS2",62.1,58,5250,6.63,6.51,4.08
0.72,"Very Good","F","VS1",63.3,58,3219,5.66,5.71,3.6
1,"Ideal","F","SI1",62.7,57,5221,6.44,6.38,4.02
0.62,"Ideal","G","VS1",60.7,55,2206,5.55,5.59,3.38
0.7,"Fair","G","SI1",66,53,1949,5.53,5.47,3.63
2,"Fair","H","SI1",65.1,59,13442,7.83,7.77,5.08
0.57,"Ideal","E","VVS2",61.9,54.3,2615,5.31,5.33,3.29
0.47,"Very Good","D","VS1",60,59,1795,5.07,5.09,3.06
0.4,"Good","F","VS2",64.1,56,723,4.65,4.71,3
0.72,"Premium","D","VS2",61.1,60,2721,5.74,5.69,3.49
0.42,"Ideal","D","SI1",62.3,57,1040,4.8,4.77,2.98
0.7,"Very Good","D","VS1",59.3,55,4003,5.86,5.83,3.47
