"carat","cut","color","clarity","depth","table","price","x","y","z"
0.42,"Ideal","D","VS2",62.4,55,1031,4.8,4.82,3
0.9,"Good","G","SI2",63.8,56,3246,6.16,6.13,3.92
0.53,"Ideal","E","SI1",61.8,56,1607,5.21,5.17,3.21
1.51,"Premium","H","SI2",60.4,59,7864,7.3,7.27,4.4
0.31,"Ideal","G","VVS1",61.5,54,789,4.36,4.39,2.69
1.52,"Premium","J","VVS2",58.3,62,8427,7.61,7.49,4.4
1.34,"Very Good","J","SI2",62.7,56,5335,7.05,7.08,4.43
0.25,"Very Good","E","VS2",63.3,60,404,4,4.03,2.54
0.3,"Premium","F","VS2",61.4,60,605,4.27,4.3,2.63
1.28,"Premium","H","SI2",62.5,62,5161,6.89,6.84,4.3
0.72,"Good","H","SI2",57.9,58,2056,5.98,5.91,3.44
1.56,"Ideal","H","VS2",62.2,56,12864,7.45,7.47,4.64
1.26,"Ideal","H","SI2",62,55,6239,6.9,6.97,4.29
0.42,"Ideal","G","VVS1",61.2,56,1179,4.85,4.86,2.97
1.27,"Ideal","J","SI2",62.6,57,4693,6.85,6.88,4.3
0.31,"Premium","H","VS1",62.6,60,544,4.3,4.32,2.7
0.31,"Premium","F","VS2",60.8,60,625,4.34,4.37,2.65
0.31,"Good","G","VS1",63.3,56,625,4.29,4.33,2.73
1.1,"Premium","H","SI1",60.4,60,5056,6.72,6.68,4.05
0.36,"Ideal","E","VS2",61.7,55,742,4.57,4.6,2.83
0.9,"Good","G","SI2",64.1,56,3246,6.12,6.08,3.91
1.02,"Very Good","H","VS2",63.3,60,5255,6.42,6.38,4.05
1.11,"Premium","H","SI1",61.9,58,4960,6.63,6.59,4.09
0.3,"Fair","G","VVS2",64.4,58,819,4.21,4.17,2.7
1.5,"Premium","G","SI1",62.3,58,10428,7.27,7.33,4.55
0.32,"Ideal","G","IF",62.2,54,918,4.42,4.45,2.76
0.59,"Ideal","E","SI1",62.2,55,1561,5.39,5.42,3.36
1.06,"Ideal","G","VS1",61.1,57,8285,6.54,6.61,4.02
0.71,"Ideal","I","VS2",62.1,57,2270,5.72,5.64,3.53
1.01,"Premium","J","SI2",63,60,3421,6.38,6.31,4
1.35,"Very Good","I","VS2",62.1,62,6961,6.97,7.05,4.35
0.31,"Ideal","G","VS2",61.8,53,652,4.35,4.39,2.7
0.38,"Very Good","E","SI1",58.3,61,640,4.75,4.86,2.8
1.05,"Ideal","H","SI1",61.4,57,5095,6.49,6.54,4
1.5,"Premium","H","SI2",62.3,60,8490,7.22,7.3,4.52
1.01,"Ideal","F","VS2",61.9,55,6787,6.47,6.45,4
0.7,"Premium","G","I1",62.3,56,1206,5.66,5.61,3.51
1.09,"Ideal","F","VS2",60.9,54,7385,6.66,6.73,4.08
0.71,"Good","F","SI1",63.9,57,2331,5.57,5.61,3.57
1,"Very Good","E","SI2",63.5,56,3763,6.37,6.3,4.02
0.3,"Good","H","VS1",63.3,57,526,4.22,4.25,2.68
1.07,"Ideal","F","VVS2",62.3,57,10061,6.56,6.58,4.09
0.31,"Ideal","G","VS2",62.9,57,698,4.34,4.31,2.72
0.78,"Very Good","I","SI1",63.5,57,2348,5.79,5.86,3.7
1.14,"Ideal","F","I1",61.7,57,3755,6.67,6.7,4.13
0.96,"Fair","H","I1",66.9,60,1705,6.15,6.04,4.09
