"carat","cut","color","clarity","depth","table","price","x","y","z"
1.71,"Ideal","I","VS2",60.5,56,11559,7.73,7.71,4.67
0.52,"Very Good","H","VS1",63.5,58,1572,5.08,5.13,3.24
1.01,"Good","H","VVS2",63.3,57,5988,6.35,6.39,4.03
1.21,"Ideal","H","SI1",61.1,57,6180,6.91,6.83,4.2
1.81,"Premium","E","SI2",58.2,61,13561,8.09,8.02,4.69
1.01,"Good","F","SI1",62.4,59,4619,6.3,6.42,3.97
0.7,"Premium","E","SI1",62.5,61,2592,5.72,5.57,3.55
0.3,"Good","I","IF",63.3,57,631,4.23,4.3,2.7
0.3,"Ideal","H","SI1",62.4,55,450,4.3,4.32,2.69
0.41,"Premium","G","VS2",62.9,59,1061,4.75,4.7,2.97
0.57,"Ideal","F","VS1",62.6,56,1949,5.27,5.33,3.32
1,"Premium","J","VS2",60.3,58,3790,6.49,6.44,3.9
0.7,"Good","J","SI2",61.2,64,1824,5.68,5.73,3.49
0.71,"Fair","E","SI2",64.8,63,2002,5.63,5.51,3.61
0.23,"Very Good","D","VVS2",61.3,58,530,3.93,3.97,2.42
0.42,"Good","H","SI1",63.1,57,700,4.76,4.78,3.01
1.57,"Very Good","D","SI1",62.3,59,12304,7.39,7.44,4.62
0.42,"Ideal","G","VS1",61.8,57,921,4.79,4.82,2.97
0.4,"Premium","E","SI1",61.3,59,945,4.74,4.69,2.89
0.32,"Ideal","H","SI1",61,56,479,4.4,4.42,2.69
0.92,"Premium","G","SI2",62.3,59,3377,6.15,6.2,3.85
0.52,"Ideal","E","VS2",61.5,56,1694,5.2,5.18,3.19
0.56,"Ideal","G","VS2",60.6,57,1698,5.36,5.33,3.24
1.7,"Premium","I","SI2",61.7,56,7140,7.66,7.57,4.7
0.34,"Ideal","E","VVS1",62.2,56,1084,4.49,4.45,2.78
0.32,"Ideal","G","VVS2",61.8,55,730,4.41,4.43,2.73
1.01,"Very Good","E","SI1",62.3,60,5224,6.36,6.39,3.97
1.35,"Premium","G","VS1",61,59,10415,7.15,7.09,4.34
0.9,"Good","F","VS2",62.7,59,4493,6.1,6.14,3.84
0.31,"Ideal","J","VS1",61.9,54.7,429,4.34,4.36,2.69
1.09,"Premium","D","SI2",61.2,60,5164,6.6,6.64,4.05
1.41,"Ideal","H","VS1",60.7,56,9752,7.31,7.22,1.41
1.5,"Good","H","SI1",61,59,9394,7.31,7.39,4.48
0.71,"Ideal","E","SI2",61.7,57,2370,5.72,5.76,3.54
1.11,"Good","G","SI2",59.7,61,5438,6.72,6.69,4
0.72,"Ideal","E","VS2",61.4,56,3601,5.78,5.8,3.55
0.32,"Premium","G","IF",62,60,954,4.37,4.41,2.72
0.25,"Fair","E","VS1",55.2,64,361,4.21,4.23,2.33
1.22,"Ideal","G","VS2",62,57,8062,6.88,6.83,4.25
0.76,"Premium","D","SI1",61.6,59,2942,5.84,5.82,3.59
1.01,"Ideal","E","VS2",62.1,56,7355,6.41,6.45,3.99
0.36,"Ideal","G","IF",61.5,56,985,4.59,4.62,2.83
0.71,"Ideal","H","SI2",62.7,57,2178,5.66,5.69,3.56
1.18,"Very Good","D","SI1",61.7,57,7093,6.8,6.84,4.21
0.65,"Premium","E","SI2",61.4,59,1640,5.57,5.52,3.41
