"carat","cut","color","clarity","depth","table","price","x","y","z"
0.32,"Ideal","H","IF",61.2,56,814,4.4,4.42,2.7
1.61,"Ideal","F","SI1",62.6,58,12085,7.44,7.48,4.67
0.71,"Very Good","J","VS2",62.6,57,1626,5.64,5.7,3.55
0.7,"Very Good","G","VVS2",63.6,57,2681,5.59,5.63,3.57
1.21,"Premium","H","IF",62.2,58,8294,6.8,6.83,4.24
1.27,"Ideal","F","VS2",61,54,10656,7,7.02,4.28
1.01,"Very Good","G","VS1",60.7,63,6353,6.4,6.38,3.88
0.36,"Ideal","F","VVS1",61.5,54,1021,4.59,4.62,2.83
0.41,"Very Good","F","VVS2",62.9,54,1115,4.7,4.74,2.97
1.1,"Premium","H","VS2",62.5,58,5729,6.59,6.54,4.1
0.9,"Premium","G","SI2",62.8,61,3385,6.14,6.09,3.84
0.26,"Ideal","E","VVS1",61.7,57,599,4.07,4.1,2.52
1.01,"Very Good","I","SI1",60.9,63,2323,6.51,6.43,3.94
0.38,"Very Good","D","VVS2",59.1,59.9,1225,4.71,4.75,2.79
1.06,"Very Good","H","SI2",62.6,58,3958,6.46,6.52,4.06
1.03,"Good","F","SI2",59,59,4414,6.55,6.6,3.88
1,"Premium","G","SI2",62.5,59,3136,6.41,6.33,3.98
1,"Fair","J","SI1",65.3,57,3175,6.33,6.12,4.08
0.24,"Ideal","G","IF",61.8,55,559,3.99,4.02,2.47
1.02,"Ideal","D","VS1",60.5,56,8181,6.55,6.48,3.94
0.32,"Ideal","D","VS2",59.8,57,907,4.51,4.46,2.68
0.59,"Ideal","D","SI2",59.1,57,1425,5.52,5.48,3.25
0.34,"Ideal","E","VS2",62.6,57,956,4.47,4.45,2.79
1.01,"Premium","D","VS2",61,59,6827,6.44,6.41,3.92
0.74,"Very Good","E","SI2",63.1,57,2617,5.8,5.76,3.65
0.41,"Premium","G","VS2",62.6,59,1061,4.76,4.73,2.97
1.01,"Fair","D","VS2",59.1,68,5797,6.56,6.44,3.84
1.01,"Very Good","G","VS2",62.7,61,5747,6.32,6.35,3.97
0.9,"Premium","G","VS2",62.1,59,4259,6.2,6.14,3.83
0.78,"Ideal","D","SI1",61.2,58,3326,5.92,5.95,3.63
0.28,"Ideal","E","VVS2",62.4,56,646,4.16,4.2,2.61
0.66,"Very Good","H","VVS1",61.9,59,2323,5.59,5.65,3.48
2.22,"Premium","I","SI1",59.9,59,18432,8.46,8.41,5.05
