"carat","cut","color","clarity","depth","table","price","x","y","z"
1.5,"Good","E","SI1",64.2,55,12754,7.17,7.22,4.62
0.3,"Ideal","D","VVS2",62,53,814,4.33,4.35,2.69
0.32,"Very Good","J","SI1",61.6,58,374,4.36,4.4,2.7
0.34,"Ideal","I","VS1",62,54,501,4.49,4.51,2.79
1.13,"Premium","G","VVS2",61.4,58,8019,6.73,6.68,4.12
1.5,"Premium","E","SI1",60.8,58,11795,7.36,7.32,4.46
0.39,"Very Good","H","VS2",60.7,56,661,4.77,4.79,2.9
0.41,"Very Good","E","SI2",59.5,62,638,4.8,4.84,2.87
2.07,"Very Good","I","SI2",63.1,57,15245,8.2,8.1,5.14
0.61,"Ideal","F","VVS2",61.8,55,2634,5.43,5.47,3.37
2.07,"Fair","G","I1",67.7,56,6503,7.76,7.73,5.25
1.01,"Ideal","G","VS1",61.5,56,6794,6.48,6.43,3.97
0.55,"Premium","E","VS2",60.1,59,1735,5.36,5.29,3.2
0.88,"Ideal","E","SI2",62.2,57,3329,6.08,6.2,3.82
0.54,"Premium","F","SI2",60,60,1240,5.27,5.22,3.24
0.7,"Ideal","E","SI2",61,55,2332,5.76,5.78,3.52
0.73,"Ideal","D","SI1",61.8,56,3189,5.8,5.76,3.57
0.54,"Premium","F","VS2",58.9,59,1667,5.37,5.32,3.15
0.36,"Very Good","D","SI1",60.4,58,663,4.6,4.64,2.79
2.01,"Fair","H","VS2",66.1,53,15888,7.82,7.92,5.2
1.21,"Very Good","J","VS2",62.2,59,5136,6.79,6.84,4.24
0.6,"Ideal","F","VS2",61.9,55,1875,5.43,5.46,3.37
2.01,"Ideal","I","SI1",62.9,57,12717,8.05,7.98,5.04
0.37,"Very Good","E","VS1",63.7,56,738,4.54,4.6,2.91
0.23,"Good","E","VVS2",63.4,61,485,3.85,3.91,2.46
1.15,"Ideal","H","SI1",61.6,55,7100,6.74,6.79,4.17
0.9,"Very Good","F","SI2",62.7,59,3569,6.1,6.18,3.85
0.5,"Premium","E","SI1",62.4,58,1155,5.06,5.01,3.14
0.7,"Ideal","I","VVS2",62.4,53.6,2487,5.68,5.72,3.55
0.33,"Very Good","G","SI1",61.2,56,521,4.44,4.46,2.72
0.52,"Premium","I","SI1",62.9,58,1105,5.14,5.04,3.2
0.29,"Very Good","F","VVS1",60.5,57,731,4.31,4.34,2.61
0.53,"Ideal","H","VS1",61.7,56,1607,5.22,5.18,3.21
1.07,"Ideal","F","SI1",62.3,56,6200,6.51,6.53,4.06
1.08,"Ideal","I","VS2",61.8,54,5455,6.6,6.57,4.07
2.21,"Ideal","D","SI2",62,57,16558,8.36,8.31,5.18
0.96,"Ideal","G","SI2",62,58,3945,6.3,6.34,3.92
1.01,"Ideal","I","SI1",62.5,56,5020,6.4,6.36,3.99
0.91,"Ideal","E","VVS1",61.7,56,9636,6.18,6.23,3.83
0.31,"Premium","E","VS2",61.7,58,872,4.34,4.31,2.67
0.41,"Ideal","G","VS2",62.2,57,1061,4.74,4.71,2.94
0.25,"Very Good","D","VVS2",62.8,56,548,4,4.03,2.52
1.05,"Ideal","E","SI1",62.1,57,5436,6.48,6.5,4.03
1.5,"Fair","I","SI2",70.1,58,4328,6.96,6.85,4.84
0.7,"Fair","E","VS2",65.6,61,2352,5.62,5.47,3.64
1.54,"Good","I","VS1",63.6,60,10349,7.33,7.3,4.65
0.57,"Ideal","D","VS2",61.8,56,2103,5.34,5.31,3.29
0.3,"Premium","H","VS1",62.5,58,526,4.27,4.34,2.69
0.32,"Premium","G","VS1",62.5,60,828,4.35,4.29,2.7
0.34,"Very Good","E","SI2",62.9,56,477,4.45,4.48,2.81
0.69,"Fair","G","VS1",61.2,65.4,2235,5.58,5.64,3.42
0.7,"Ideal","E","VS2",62.5,55,2693,5.73,5.7,3.57
0.77,"Very Good","D","VS1",62.4,58,3643,5.82,5.87,3.65
0.42,"Ideal","D","SI1",61.9,56,810,4.82,4.84,2.99
0.71,"Very Good","E","VS1",62.1,60,3192,5.65,5.71,3.53
1.02,"Fair","F","VVS2",64.8,58,6863,6.22,6.28,4.05
0.73,"Very Good","G","SI1",58.8,61,2564,5.87,5.93,3.47
0.78,"Ideal","F","SI1",61.1,56,2923,5.94,5.98,3.64
1.5,"Fair","F","SI2",64.7,59,7056,7.13,7.05,4.59
0.5,"Very Good","F","VS2",60.6,59,1333,5.03,5.13,3.08
0.28,"Very Good","F","VVS1",58.9,62,572,4.27,4.32,2.53
1.62,"Ideal","F","VS2",61.2,57,18281,7.52,7.58,4.62
2.07,"Ideal","J","VVS2",62.7,54,16769,8.17,8.12,5.11
1.01,"Very Good","E","VVS2",63.1,57,8849,6.31,6.39,4.01
1.01,"Ideal","E","VS2",61.5,57,7288,6.44,6.48,3.97
0.33,"Ideal","G","IF",61.6,55,984,4.48,4.51,2.77
0.71,"Ideal","E","VVS2",61.2,57,4030,5.73,5.8,3.53
0.9,"Good","G","VS1",65.8,59,4108,6,6.04,3.96
1.73,"Premium","J","SI1",60.7,58,9271,7.78,7.73,4.71
1,"Ideal","E","SI1",61.4,58,5555,6.41,6.43,3.94
0.66,"Premium","E","SI1",61.1,56,1708,5.68,5.62,3.45
1.01,"Very Good","G","VS2",61.6,58,5919,6.4,6.45,3.96
1.11,"Premium","F","VS1",59.4,58,7832,6.81,6.75,4.03
0.72,"Very Good","I","VS1",60.7,56,2401,5.78,5.82,3.52
0.72,"Ideal","G","SI2",62.3,54,2295,5.76,5.79,3.6
1,"Fair","G","VS2",44,53,4032,6.31,6.24,4.12
0.5,"Very Good","D","VS2",63.3,57,1819,5.08,5.06,3.21
0.32,"Premium","G","VS1",61.8,60,828,4.36,4.35,2.69
0.32,"Premium","H","VVS1",62.9,58,936,4.37,4.34,2.74
0.51,"Very Good","E","VS1",60.4,59,1697,5.16,5.2,3.13
1.01,"Ideal","H","SI1",62.9,55,4773,6.35,6.4,4.01
1.51,"Ideal","H","VS1",62.6,56,11686,7.32,7.28,4.57
0.37,"Ideal","F","VS1",61.7,56,811,4.61,4.63,2.85
0.3,"Very Good","D","SI1",63.4,55,662,4.26,4.22,2.69
0.72,"Ideal","E","SI1",62.6,56,2907,5.7,5.73,3.58
0.4,"Ideal","G","VS1",62.3,57,1050,4.73,4.68,2.93
0.9,"Very Good","G","SI1",63.1,59,3669,6.15,6.11,3.87
0.38,"Premium","F","VS1",60.9,58,998,4.71,4.68,2.86
0.51,"Ideal","F","VS2",62.6,55,1875,5.15,5.1,3.21
1.02,"Ideal","G","VS2",62.4,57,5346,6.47,6.36,4
0.73,"Very Good","E","SI1",63.3,60,2523,5.65,5.7,3.59
1.02,"Premium","F","SI2",62.5,57,4570,6.47,6.43,4.03
0.52,"Ideal","G","VS1",61.6,54,1721,5.21,5.24,3.22
0.41,"Premium","E","SI1",60.4,58,930,4.79,4.75,2.88
1.25,"Good","I","SI2",63.3,55.8,5197,6.83,6.87,4.34
0.31,"Premium","I","VVS2",62.1,58,544,4.33,4.37,2.7
1.2,"Ideal","F","VS1",62.1,58,10367,6.78,6.84,4.23
0.9,"Very Good","G","SI1",63.3,56,3752,6.08,6.11,3.86
0.32,"Premium","G","VVS2",61.6,60,936,4.4,4.37,2.7
0.32,"Good","F","SI2",63.5,56,421,4.35,4.37,2.77
0.34,"Ideal","H","IF",60.8,56,988,4.56,4.55,2.77
1.2,"Good","G","VS1",63.6,58,8387,6.59,6.56,4.18
1,"Very Good","H","VS2",59.6,59,4978,6.47,6.54,3.88
0.31,"Ideal","H","VVS2",62.5,55,625,4.34,4.37,2.72
0.7,"Ideal","E","SI2",60.6,56,2405,5.73,5.78,3.49
0.92,"Ideal","J","VS2",61.1,57,3215,6.31,6.22,3.83
0.32,"Ideal","D","VS2",61.3,56,758,4.37,4.41,2.69
2.12,"Ideal","D","SI2",62.9,55,12707,8.17,8.14,5.13
2.2,"Ideal","J","SI1",61.5,57,14593,8.41,8.37,5.16
0.55,"Ideal","H","SI2",62.2,54,1057,5.28,5.3,3.29
0.33,"Ideal","D","VS2",60.9,55,1002,4.5,4.46,2.73
0.46,"Ideal","F","SI1",62.5,56,1018,4.94,4.92,3.08
1.11,"Premium","G","VS2",61,59,5346,6.7,6.67,4.08
0.9,"Ideal","G","SI1",61.6,57,3931,6.24,6.17,3.82
0.3,"Ideal","I","VVS1",62.2,54,532,4.29,4.35,2.68
0.4,"Good","H","VS2",59.4,64,945,4.82,4.75,2.84
0.24,"Very Good","E","VS2",62.1,58,419,4,4.02,2.49
0.71,"Premium","I","VVS1",62,58,2549,5.65,5.7,3.52
0.25,"Ideal","F","VS1",61.8,56,595,4.07,4.09,2.52
0.7,"Fair","G","I1",68.3,56,978,5.52,5.4,3.73
0.53,"Very Good","E","VS2",58.3,62,1607,5.26,5.31,3.08
1.13,"Ideal","G","VVS2",61.6,57,10396,6.66,6.75,4.13
0.51,"Premium","G","VS2",62.6,57,1443,5.15,5.1,3.21
0.56,"Very Good","G","VS1",59.9,60,1912,5.37,5.41,3.23
0.43,"Very Good","F","SI1",62.9,59,792,4.79,4.84,3.03
0.39,"Ideal","H","VS1",61.9,57,740,4.71,4.76,2.93
1.74,"Good","G","VS1",58.6,62,16223,7.83,7.88,4.6
1.29,"Good","J","VS2",58.2,61,5898,7.07,7.12,4.13
0.35,"Good","E","SI2",64,55,588,4.49,4.45,2.86
0.93,"Good","I","VS2",58.2,60,3946,6.41,6.48,3.75
0.31,"Premium","G","VS2",59,60,698,4.41,4.37,2.59
0.26,"Ideal","G","IF",61.7,54,648,4.15,4.18,2.57
0.38,"Very Good","E","VVS2",61.8,56,1000,4.66,4.68,2.88
1.03,"Premium","F","VS2",60.5,59,5330,6.6,6.52,3.97
0.54,"Ideal","D","VS2",60.9,56,1763,5.3,5.27,3.22
0.44,"Very Good","I","VS1",61.9,57,813,4.86,4.89,3.01
1.2,"Premium","H","SI2",62,58,5376,6.91,6.76,4.24
0.58,"Ideal","F","VS2",60.6,56,1809,5.41,5.44,3.29
1.02,"Ideal","G","IF",62.3,57,8955,6.43,6.5,4.03
0.3,"Ideal","H","VS2",62.6,55,491,4.28,4.31,2.69
0.37,"Ideal","F","VVS1",62,55,1049,4.6,4.63,2.86
0.32,"Ideal","F","VS2",61.5,55,828,4.42,4.4,2.71
0.56,"Ideal","F","VS2",62.3,55,1608,5.28,5.32,3.3
0.32,"Ideal","I","VS2",62.5,55,449,4.37,4.4,2.74
0.41,"Premium","H","SI1",60.5,58,876,4.85,4.81,2.92
1.32,"Ideal","F","VS2",62.3,57,7983,7.06,6.97,4.37
1.57,"Premium","I","VS2",62.2,58,7755,7.43,7.35,4.59
0.58,"Very Good","I","VVS1",63,57,1636,5.29,5.34,3.35
0.34,"Ideal","E","VVS1",62.2,54,973,4.52,4.55,2.82
1.52,"Ideal","H","VS1",60.1,60,11946,7.54,7.51,4.52
0.3,"Ideal","G","VVS1",62,54,764,4.35,4.36,2.7
0.53,"Very Good","E","VS2",61.6,57,1721,5.18,5.21,3.2
0.32,"Ideal","G","VVS2",61.7,57,936,4.44,4.41,2.73
0.3,"Ideal","D","VS2",62.9,56,911,4.28,4.24,2.68
0.73,"Good","E","SI1",63.2,58,2796,5.7,5.76,3.62
0.41,"Ideal","D","SI1",60.3,57,791,4.82,4.86,2.92
0.3,"Ideal","E","VVS1",62,57,844,4.29,4.32,2.67
0.5,"Fair","F","SI2",65.5,54,1031,5.06,4.92,3.25
0.49,"Premium","D","VVS2",58.8,60,1940,5.26,5.14,3.06
1.5,"Very Good","D","SI1",62.7,59,11442,7.21,7.24,4.53
0.75,"Ideal","G","SI1",62.2,55,2760,5.87,5.8,3.63
0.4,"Ideal","G","VVS1",61.2,56,1200,4.79,4.75,2.92
0.73,"Ideal","D","SI1",61.5,56,2858,5.84,5.8,3.58
