"carat","cut","color","clarity","depth","table","price","x","y","z"
1.01,"Premium","G","VS1",62.8,59,6618,6.37,6.34,3.99
1.17,"Premium","H","VS2",62.4,57,6163,6.74,6.69,4.19
0.85,"Ideal","F","VS2",62.4,57,3641,6.13,6.01,3.79
1.12,"Premium","G","VS2",60.7,53,6774,6.81,6.7,4.1
0.4,"Premium","F","VS1",62.6,58,982,4.68,4.72,2.94
1.04,"Very Good","F","VS2",59,57,6405,6.64,6.69,3.93
0.52,"Very Good","G","VS1",61.2,57,1420,5.17,5.23,3.18
1,"Premium","F","VVS1",61,60,9901,6.43,6.39,3.91
0.34,"Very Good","G","IF",61,56,924,4.5,4.54,2.76
0.7,"Good","I","VS2",57.5,62,2268,5.81,5.78,3.33
1.12,"Premium","G","SI1",59.5,62,5181,6.81,6.76,4.04
1.11,"Very Good","E","SI2",62.8,55,4914,6.6,6.62,4.15
1.57,"Ideal","I","VS2",60.4,58,10964,7.55,7.59,4.57
0.72,"Ideal","G","VVS2",61.6,55,3002,5.78,5.77,3.56
0.3,"Very Good","D","VVS2",63.2,55,754,4.27,4.3,2.71
1.5,"Very Good","E","SI2",62.8,57,8538,7.17,7.23,4.52
0.71,"Ideal","F","VS1",62.1,56,3457,5.69,5.75,3.55
0.62,"Ideal","F","VS1",62,54,2406,5.46,5.5,3.4
0.33,"Ideal","D","VS2",60.7,56,803,4.48,4.5,2.73
1.01,"Good","D","SI1",63.9,62,5147,6.31,6.25,4.01
1.02,"Premium","F","SI2",62,59,4238,6.42,6.33,3.95
0.23,"Ideal","G","VS1",61.9,54,404,3.93,3.95,2.44
0.32,"Ideal","D","SI1",62.6,55,756,4.39,4.36,2.74
0.9,"Very Good","F","SI1",63.8,54,3699,6.09,6.13,3.9
0.31,"Ideal","J","VVS2",62,56.1,468,4.31,4.33,2.68
1.58,"Ideal","F","SI1",61.9,55,14495,7.52,7.47,4.64
0.51,"Ideal","G","VVS1",62.8,53,1810,5.09,5.14,3.21
0.4,"Very Good","E","SI1",63.3,56,882,4.74,4.68,2.98
0.41,"Ideal","G","VS2",61.7,54,811,4.78,4.81,2.96
0.64,"Ideal","D","VVS1",61.8,54,4084,5.54,5.56,3.43
0.3,"Ideal","G","IF",62.4,54,863,4.31,4.34,2.7
1.51,"Ideal","F","SI1",62.3,57,12459,7.33,7.3,4.56
0.31,"Ideal","H","VS2",61.9,55,628,4.38,4.35,2.7
0.5,"Very Good","F","I1",63.3,59,1188,5.03,4.99,3.17
1.74,"Premium","J","SI2",59.7,57,8690,7.88,7.8,4.68
1.14,"Very Good","G","SI2",62.4,60,4875,6.6,6.67,4.14
0.28,"Very Good","E","VS2",60.4,59,487,4.22,4.26,2.56
2.36,"Ideal","H","SI2",62.2,55,17569,8.51,8.56,5.3
1.02,"Good","H","I1",64.3,63,2751,6.28,6.23,4.02
1.56,"Ideal","H","SI2",62.4,55,9081,7.39,7.48,4.64
2.11,"Premium","G","SI2",62.2,58,13598,8.19,8.23,5.11
0.25,"Premium","H","VVS1",60.1,62,577,4.11,4.08,2.46
1.02,"Very Good","H","SI2",61.1,61,4039,6.48,6.51,3.97
0.38,"Ideal","H","VVS2",61.4,57,833,4.63,4.65,2.85
0.35,"Premium","E","VS2",58.9,59,984,4.64,4.59,2.72
0.54,"Premium","I","SI2",61.2,60,1013,5.22,5.2,3.19
0.35,"Premium","H","VVS2",61.9,58,706,4.5,4.54,2.8
0.41,"Very Good","H","SI1",62.4,56,683,4.74,4.78,2.97
0.32,"Ideal","F","VVS1",61.8,56,926,4.42,4.45,2.74
0.4,"Ideal","H","VVS2",62.1,57,1125,4.74,4.69,2.93
0.35,"Premium","D","SI2",62.3,58,522,4.48,4.54,2.81
1.01,"Good","E","SI1",63.3,58,4986,6.37,6.39,4.04
2.39,"Premium","H","SI1",61.8,58,15917,8.57,8.52,5.28
0.7,"Fair","F","SI2",58.2,66,1920,5.77,5.74,3.35
0.3,"Ideal","E","VVS2",61.4,55,837,4.32,4.34,2.66
0.72,"Ideal","G","VS2",61.9,58,2797,5.72,5.75,3.55
0.53,"Ideal","G","VS1",61.9,55,1695,5.22,5.25,3.24
1.51,"Good","F","SI1",59.5,58,14148,7.35,7.44,4.4
0.81,"Very Good","H","VS1",62.5,57,3404,5.94,5.96,3.72
0.25,"Ideal","G","VVS2",62.1,57,525,4.01,4.07,2.5
0.54,"Ideal","G","VVS1",61.3,56,1982,5.23,5.28,3.22
1.15,"Ideal","G","VVS1",62.7,56,10644,6.69,6.67,4.19
0.31,"Ideal","H","VVS1",62.3,54,687,4.37,4.4,2.73
0.28,"Very Good","H","VS1",61.9,56,429,4.18,4.2,2.59
2,"Premium","H","SI2",62.7,58,12168,8.06,8.01,5.04
0.44,"Very Good","J","VS1",63.2,57,891,4.86,4.82,3.06
1.23,"Ideal","G","VVS2",61,57,10304,6.93,6.9,4.22
1.12,"Very Good","H","SI2",62.5,58,4373,6.58,6.63,4.13
1.5,"Fair","H","SI1",65,57,6838,7.1,7.06,4.6
0.91,"Premium","F","SI2",58.2,61,3746,6.58,6.41,3.77
0.51,"Very Good","D","SI1",61.7,58,1403,5.09,5.12,3.15
0.41,"Ideal","G","IF",61.7,56,1431,4.8,4.77,2.95
1,"Premium","F","SI1",60.3,61,4704,6.43,6.38,3.86
1.23,"Good","H","SI1",63.7,59,5490,6.76,6.71,4.29
0.56,"Ideal","F","SI1",60.1,58,1394,5.36,5.39,3.23
0.51,"Ideal","E","VS2",61.7,53,1709,5.2,5.18,3.2
1.01,"Ideal","G","SI1",62.7,57,5555,6.3,6.34,3.96
0.41,"Premium","D","SI1",61.4,58,1015,4.78,4.76,2.93
0.3,"Very Good","H","VVS1",61.1,61,638,4.27,4.3,2.62
2.02,"Good","I","SI2",58.2,57,14027,8.31,8.35,4.85
0.25,"Ideal","F","VS2",62.8,57,436,3.98,4.01,2.51
0.5,"Premium","E","SI1",61,61,1562,5.11,5.09,3.11
1.28,"Premium","E","VS1",60.8,60,12210,7.03,6.98,4.26
1.1,"Premium","E","SI2",59.1,60,4967,6.77,6.7,3.98
0.38,"Ideal","D","VVS2",62.5,53,1096,4.63,4.68,2.91
0.33,"Premium","D","SI1",60,59,780,4.5,4.47,2.69
0.24,"Ideal","G","VVS1",62.2,56,559,4,4.04,2.5
0.7,"Ideal","F","VS2",61.8,57,3011,5.67,5.75,3.53
2.02,"Premium","F","SI2",61.7,58,18320,8.11,8.15,5.02
1.53,"Premium","I","VS2",62,58,10196,7.41,7.36,4.58
0.44,"Premium","F","VS1",61.2,61,1155,4.88,4.83,2.97
0.31,"Premium","F","VS2",62.3,59,802,4.34,4.29,2.69
0.54,"Good","H","VS1",63.2,60,1361,5.13,5.16,3.25
0.4,"Ideal","D","VS2",60.5,57,1125,4.8,4.76,2.89
