"carat","cut","color","clarity","depth","table","price","x","y","z"
0.39,"Ideal","F","SI1",61.8,55,711,4.66,4.71,2.9
0.23,"Ideal","I","VVS1",63,56,414,3.94,3.9,2.47
0.7,"Very Good","G","SI1",60.6,57,2042,5.73,5.79,3.49
1.13,"Ideal","F","SI2",60.4,56,4449,6.78,6.72,4.08
0.23,"Very Good","D","VVS2",62.5,58,530,3.92,3.95,2.46
1.02,"Very Good","G","SI2",63.8,55,4501,6.37,6.4,4.07
1.14,"Good","D","IF",61.7,63,17499,6.64,6.74,4.13
1.03,"Fair","G","SI2",65.7,58,3530,6.32,6.26,4.13
0.59,"Premium","E","SI1",61.8,60,1789,5.39,5.33,3.31
0.32,"Very Good","F","VS1",61.3,55,696,4.41,4.44,2.71
1.07,"Premium","E","SI2",60.5,59,4284,6.59,6.67,4.01
0.3,"Very Good","I","VS1",61.8,63,442,4.26,4.29,2.64
0.36,"Ideal","G","SI1",61.8,55,725,4.58,4.61,2.84
1.03,"Very Good","F","SI2",61.1,59,4218,6.51,6.58,4
0.36,"Premium","I","VS1",60.3,60,729,4.64,4.58,2.78
0.7,"Ideal","F","VVS1",62.2,57,4458,5.7,5.74,3.56
0.5,"Fair","F","SI2",65.5,54,1031,5.06,4.92,3.25
0.31,"Premium","G","VS2",59.2,60,544,4.42,4.47,2.63
0.31,"Very Good","F","VS2",62.9,58,625,4.27,4.31,2.7
0.75,"Good","F","VS1",64.4,59,2953,5.67,5.72,3.66
0.5,"Ideal","J","VS1",62.5,57,1082,5.06,5.09,3.17
0.23,"Very Good","E","VVS2",60.9,59,530,3.96,3.99,2.42
0.41,"Ideal","E","SI1",62.5,57,755,4.74,4.79,2.98
1.51,"Good","H","VS1",58.2,58,10819,7.49,7.56,4.38
0.5,"Ideal","E","VVS1",61.9,58,2682,5.07,5.11,3.15
0.54,"Very Good","E","VS2",60.7,56,1637,5.29,5.32,3.22
0.24,"Ideal","F","VVS2",60.7,56,552,3.98,4.03,2.43
1.51,"Premium","F","SI1",60.9,61,11666,7.32,7.3,4.45
0.35,"Premium","H","VVS1",60.6,60,1024,4.57,4.51,2.75
0.35,"Ideal","H","VS2",61.2,56,571,4.53,4.56,2.78
0.39,"Ideal","D","SI1",60.6,55,729,4.73,4.78,2.88
