"carat","cut","color","clarity","depth","table","price","x","y","z"
1.11,"Premium","I","SI1",61.9,58,3978,6.63,6.61,4.1
1.18,"Premium","G","SI2",61.4,58,5190,6.82,6.77,4.17
0.57,"Ideal","F","IF",61.3,56,2656,5.32,5.36,3.28
0.38,"Ideal","F","IF",62.2,55,1333,4.64,4.66,2.89
0.41,"Ideal","F","VVS2",61.7,57,1192,4.8,4.73,2.94
1.13,"Ideal","G","VS2",61.6,57,7159,6.68,6.7,4.12
0.9,"Premium","H","SI1",62.4,56,3095,6.13,6.05,3.8
0.8,"Very Good","E","VS2",61.6,57,4263,5.95,5.97,3.67
1.83,"Premium","E","SI2",62,57,12492,7.89,7.81,4.87
1.11,"Premium","F","SI2",62.5,59,4134,6.59,6.53,4.1
0.32,"Ideal","G","VVS2",61.7,57,730,4.41,4.44,2.73
0.78,"Very Good","G","SI1",63.3,56,2721,5.83,5.86,3.7
0.54,"Ideal","D","SI1",60.8,57,1662,5.25,5.31,3.21
1.01,"Premium","F","SI2",61,60,4197,6.48,6.44,3.94
0.61,"Ideal","D","SI1",62,55,1927,5.44,5.47,3.38
1.29,"Premium","G","VS2",58.7,58,8842,7.27,7.11,4.22
0.3,"Very Good","G","VVS1",62.4,57,789,4.27,4.29,2.67
0.31,"Ideal","F","VS2",61.9,54,625,4.35,4.38,2.7
1.01,"Ideal","G","IF",62.2,61,8957,6.34,6.4,3.96
0.52,"Ideal","H","VS1",62,55,1699,5.15,5.19,3.2
0.36,"Ideal","E","VS2",61.1,56,1013,4.63,4.6,2.82
0.38,"Ideal","E","VS1",62.2,55,1112,4.67,4.63,2.89
0.34,"Good","G","VS2",57.5,61,714,4.66,4.6,2.66
0.35,"Ideal","E","VS2",61.9,54,923,4.53,4.58,2.82
0.84,"Ideal","J","VS2",60.7,56,2376,6.17,6.12,3.73
3.65,"Fair","H","I1",67.1,53,11668,9.53,9.48,6.38
0.3,"Premium","D","VS1",61.9,58,712,4.28,4.32,2.66
0.3,"Ideal","G","VVS2",61.1,57,684,4.32,4.35,2.65
0.9,"Good","F","SI1",62.5,59,4119,6.1,6.13,3.82
0.58,"Ideal","E","VS2",61.9,57,1984,5.37,5.33,3.31
