"carat","cut","color","clarity","depth","table","price","x","y","z"
2.01,"Good","I","VS2",59.9,65,15587,8.14,8.19,4.89
0.54,"Very Good","I","SI1",61.3,60,1079,5.2,5.24,3.2
0.9,"Very Good","F","SI2",62.8,54,3217,6.05,6.15,3.83
2,"Ideal","H","SI1",65,61,18604,7.9,7.79,5.11
0.62,"Very Good","H","SI1",60.1,61,1446,5.55,5.59,3.35
0.42,"Premium","F","SI1",61.8,58,773,4.81,4.84,2.98
0.31,"Good","D","SI2",63.9,57,462,4.28,4.33,2.75
1,"Good","E","SI2",57.7,65,3696,6.55,6.59,3.79
1.19,"Premium","I","SI1",62.2,58,4865,6.77,6.73,4.2
0.4,"Ideal","E","SI1",61.2,57,737,4.7,4.74,2.89
1.55,"Ideal","F","SI2",61.9,55,10937,7.44,7.4,4.6
1.11,"Premium","G","VS2",60.8,58,6713,6.7,6.65,4.06
0.46,"Very Good","G","VVS1",61.7,60,1413,4.94,4.98,3.06
0.31,"Good","G","VVS2",63.4,59,707,4.26,4.29,2.71
0.72,"Good","F","SI1",63.9,62,2188,5.7,5.63,3.62
0.39,"Premium","E","VS2",59.7,59,975,4.83,4.79,2.87
1.06,"Ideal","F","VS2",61.4,56,7641,6.56,6.61,4.04
0.32,"Ideal","E","VS2",62,55,702,4.36,4.38,2.71
0.41,"Very Good","E","SI1",60,58,674,4.79,4.88,2.9
1.2,"Very Good","H","VS1",60.2,57,8039,6.88,6.95,4.16
0.28,"Ideal","H","VS1",61.8,57,497,4.2,4.22,2.6
1.01,"Very Good","I","VS1",63.1,56,4129,6.42,6.36,4.03
0.56,"Ideal","G","SI1",62.5,57,1345,5.26,5.23,3.28
1.04,"Very Good","F","VS2",59.6,62,6166,6.56,6.62,3.93
0.39,"Ideal","I","VS2",61.5,55,651,4.7,4.73,2.9
0.26,"Very Good","G","VVS2",62.2,56,486,4.09,4.12,2.55
1.27,"Ideal","H","SI1",60.1,58,6858,7.02,7.05,4.23
0.41,"Very Good","F","VVS1",62.7,59,1186,4.75,4.78,2.99
1,"Premium","G","VS1",60.9,60,6097,6.45,6.42,3.92
